Smiles,He,H2,O2,N2,CO2,CH4
*C(C)=C(*)[Si](C)(C)c1ccccc1,0.919078092,1.146128036,0.643452676,0.079181246,1.575187845,0.230448921
*C(C)=C(*)c1ccc([Si](C)(C)C)cc1,2.431363764,2.707570176,2.380211242,2,2.977723605,2.301029996
*CC(*)N1CCCC1=O,-0.144459125,-0.360254416,-1.7000571,-2.525179485,-1.037882536,-2.042908417
*CC(*)C(=O)OC,1.093421685,1.025305865,0.025305865,-0.619788758,0.981365509,-0.537602002
*CC(*)C(=O)OCC,1.643452676,1.781036939,1.278753601,0.810232518,2.245512668,1.173186268
*CC(*)C(=O)OCCCCCCCCCCCCCC,1.723455672,1.983175072,1.756636108,1.344392274,2.472756449,1.813580989
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,1.837588438,2.053078443,1.875061263,1.463892989,2.631443769,1.958085849
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,1.866287339,2.164352856,1.882524538,1.556302501,2.606381365,1.970346876
*CC(*)(C)C(=O)OC,0.912671854,0.733550581,-0.41225537,-1.294525979,0.130245921,-1.438222638
*CC(*)(C)C(=O)OC,0.86923172,0.556302501,-1.096910013,-1.958607315,-0.468521083,-2.244125144
*CC(*)(C)C(=O)OC,0.922455263,1.049875,-0.090979146,-0.885435169,0.453989221,-1.037802016
*CC(*)(C)C(=O)OC,0.879270542,1.248188511,-0.021819483,-0.832014958,0.528692323,-0.981555092
*CC(*)(C)C(=O)OC,0.238292548,0.090746263,-0.93930216,-1.771156015,-0.561824158,-1.844376868
*CC(*)(C)C(=O)OC,0.139283706,-0.082341167,-1,-1.690591083,-0.344669442,-1.748097004
*CC(*)(C)C(=O)OC,0.875061263,0.602059991,-0.075720714,-1.950781977,-0.48148606,-2.229147988
*CC(*)(C)C(=O)OC,0.875061263,0.602059991,-0.075720714,-1.950781977,-0.48148606,-2.229147988
*CC(*)(C)C(=O)OCC,0.88311749,0.896764755,0.06069784,-0.657577319,0.698970004,-0.368668861
